id,player_game_id,bird_name,habitat
555,61,Common Loon,Wetlands
556,61,Eleonora's Falcon,Wetlands
557,61,Brant,Wetlands
558,61,Northern Harrier,Wetlands
559,61,Double-Crested Cormorant,Wetlands
560,62,White-Breasted Nuthatch,Forest
561,62,Barn Swallow,Grasslands
562,62,Brown-Headed Cowbird,Grasslands
563,62,European Roller,Grasslands
564,62,Auduoin's Gull,Wetlands
565,62,Black Skimmer,Wetlands
566,62,Purple Gallinule,Wetlands
567,62,Pied-Billed Grebe,Wetlands
568,63,White-Breasted Nuthatch,Forest
569,63,Northern Mockingbird,Forest
570,63,Yellow-Breasted Chat,Forest
571,63,Common Cuckoo,Grasslands
572,63,Killdeer,Grasslands
573,63,Baird's Sparrow,Grasslands
574,63,American Bittern,Wetlands
575,63,Carrion Crow,Wetlands
576,64,Painted Whitestart,Forest
577,64,Red-Cockaded Woodpecker,Forest
578,64,European Robin,Forest
579,64,Eurasian Collared-Dove,Grasslands
580,64,House Sparrow,Grasslands
581,64,Common Raven,Grasslands
582,64,Bronzed Cowbird,Grasslands
583,64,Red-Winged Blackbird,Wetlands
584,65,Spotted Towhee,Forest
585,65,Carolina Wren,Forest
586,65,Yellow-Bellied Sapsucker,Forest
587,65,Purple Martin,Grasslands
588,65,Eurasian Collared-Dove,Grasslands
589,65,Thekla's Lark,Grasslands
590,65,Anhinga,Wetlands
591,66,Cassin's Finch,Forest
592,66,Fish Crow,Grasslands
593,66,Common Chaffinch,Grasslands
594,66,Mourning Dove,Grasslands
595,66,Red-Winged Blackbird,Grasslands
596,66,Eastern Imperial Eagle,Grasslands
597,66,Ruddy Duck,Wetlands
598,66,Common Yellowthroat,Wetlands
599,66,Clark's Grebe,Wetlands
600,67,Northern Goshawk,Forest
601,67,Blue-Winged Warbler,Forest
602,67,Ruff,Grasslands
603,67,Killdeer,Grasslands
604,67,White-Crowned Sparrow,Grasslands
605,67,Lincoln's Sparrow,Grasslands
606,67,Carrion Crow,Wetlands
607,67,Spotted Sandpiper,Wetlands
608,68,American Redstart,Forest
609,68,Ruby-Crowned Kinglet,Forest
610,68,Blue-Gray Gnatcatcher,Forest
611,68,Violet-Green Swallow,Grasslands
612,68,Snow Bunting,Grasslands
613,68,Bald Eagle,Wetlands
614,68,Red Knot,Wetlands
615,68,Wood Stork,Wetlands
616,68,Common Nighthawk,Wetlands
