team_game_id,game_id,team,toi,cf,ca,gf,ga,is_home,season
342,171,Pittsburgh Penguins,60,64,54,10,2,0,2324
343,172,Vancouver Canucks,60,58,60,2,0,1,2324
344,172,Dallas Stars,60,60,58,0,2,0,2324
345,173,Vegas Golden Knights,60,53,87,7,0,1,2324
346,173,Colorado Avalanche,60,87,53,0,7,0,2324
347,174,Chicago Blackhawks,60,55,72,2,4,1,2324
348,174,New Jersey Devils,60,72,55,4,2,0,2324
349,175,Anaheim Ducks,60,53,60,4,2,1,2324
350,175,Vegas Golden Knights,60,60,53,2,4,0,2324
351,176,Florida Panthers,61.43333333,98,62,5,4,1,2324
352,176,Columbus Blue Jackets,61.43333333,62,98,4,5,0,2324
353,177,Toronto Maple Leafs,60.76666667,59,51,6,5,1,2324
354,177,Tampa Bay Lightning,60.76666667,51,59,5,6,0,2324
355,178,Dallas Stars,60,78,57,2,3,1,2324
356,178,Boston Bruins,60,57,78,3,2,0,2324
357,179,Vancouver Canucks,60,60,79,6,2,1,2324
358,179,Edmonton Oilers,60,79,60,2,6,0,2324
359,180,Carolina Hurricanes,61.5,66,43,3,2,1,2324
360,180,Buffalo Sabres,61.5,43,66,2,3,0,2324
361,181,Montreal Canadiens,60,61,57,3,5,1,2324
362,181,Tampa Bay Lightning,60,57,61,5,3,0,2324
363,182,New York Islanders,60,72,58,2,4,1,2324
364,182,Minnesota Wild,60,58,72,4,2,0,2324
365,183,New York Rangers,60,62,55,5,3,1,2324
366,183,Detroit Red Wings,60,55,62,3,5,0,2324
367,184,St Louis Blues,60,42,59,2,5,1,2324
368,184,Winnipeg Jets,60,59,42,5,2,0,2324
369,185,Arizona Coyotes,65,55,72,3,3,1,2324
370,185,Seattle Kraken,65,72,55,3,3,0,2324
371,186,Calgary Flames,60,76,41,4,2,1,2324
372,186,Nashville Predators,60,41,76,2,4,0,2324
373,187,Anaheim Ducks,60,49,61,0,2,1,2324
374,187,Pittsburgh Penguins,60,61,49,2,0,0,2324
375,188,Colorado Avalanche,60,62,49,6,3,1,2324
376,188,New Jersey Devils,60,49,62,3,6,0,2324
377,189,San Jose Sharks,60,53,65,2,1,1,2324
378,189,Philadelphia Flyers,60,65,53,1,2,0,2324
379,190,Toronto Maple Leafs,60,62,56,3,6,1,2324
380,190,Ottawa Senators,60,56,62,6,3,0,2324
381,191,Washington Capitals,60.25,53,48,3,4,1,2324
382,191,Florida Panthers,60.25,48,53,4,3,0,2324
383,192,Vegas Golden Knights,60,65,79,1,4,1,2324
384,192,Los Angeles Kings,60,79,65,4,1,0,2324
385,193,Boston Bruins,60,60,62,5,2,1,2324
386,193,New York Islanders,60,62,60,2,5,0,2324
387,194,Columbus Blue Jackets,60,53,74,2,5,1,2324
388,194,Dallas Stars,60,74,53,5,2,0,2324
389,195,Detroit Red Wings,64.26666667,63,55,2,3,1,2324
390,195,Montreal Canadiens,64.26666667,55,63,3,2,0,2324
391,196,New York Rangers,60,55,63,4,1,1,2324
392,196,Minnesota Wild,60,63,55,1,4,0,2324
393,197,Ottawa Senators,60,59,43,2,5,1,2324
394,197,Vancouver Canucks,60,43,59,5,2,0,2324
395,198,Tampa Bay Lightning,60,67,41,3,5,1,2324
396,198,Chicago Blackhawks,60,41,67,5,3,0,2324
397,199,St Louis Blues,60,59,43,2,1,1,2324
398,199,Arizona Coyotes,60,43,59,1,2,0,2324
399,200,Winnipeg Jets,60,56,57,6,3,1,2324
400,200,Nashville Predators,60,57,56,3,6,0,2324
401,201,Colorado Avalanche,60,61,56,3,4,1,2324
402,201,Seattle Kraken,60,56,61,4,3,0,2324
403,202,Los Angeles Kings,63.75,69,49,3,4,1,2324
404,202,Pittsburgh Penguins,63.75,49,69,4,3,0,2324
405,203,San Jose Sharks,60,43,92,3,2,1,2324
406,203,Edmonton Oilers,60,92,43,2,3,0,2324
407,204,Buffalo Sabres,60,55,80,3,2,1,2324
408,204,Minnesota Wild,60,80,55,2,3,0,2324
409,205,Florida Panthers,60,60,69,5,2,1,2324
410,205,Carolina Hurricanes,60,69,60,2,5,0,2324
411,206,New Jersey Devils,60,56,51,2,4,1,2324
412,206,Washington Capitals,60,51,56,4,2,0,2324
413,207,Toronto Maple Leafs,65,82,57,4,4,1,2324
414,207,Calgary Flames,65,57,82,4,4,0,2324
415,208,Anaheim Ducks,60,78,58,3,6,1,2324
416,208,Philadelphia Flyers,60,58,78,6,3,0,2324
417,209,Vegas Golden Knights,60,67,46,5,0,1,2324
418,209,San Jose Sharks,60,46,67,0,5,0,2324
419,210,Detroit Red Wings,60,51,65,5,4,1,2324
420,210,Columbus Blue Jackets,60,65,51,4,5,0,2324
421,211,Winnipeg Jets,60,57,55,2,3,1,2324
422,211,Dallas Stars,60,55,57,3,2,0,2324
423,212,Montreal Canadiens,62.21666667,58,58,3,2,1,2324
424,212,Boston Bruins,62.21666667,58,58,2,3,0,2324
425,213,Ottawa Senators,60,67,62,4,1,1,2324
426,213,Calgary Flames,60,62,67,1,4,0,2324
427,214,Tampa Bay Lightning,60,44,60,0,4,1,2324
428,214,Carolina Hurricanes,60,60,44,4,0,0,2324
429,215,Toronto Maple Leafs,60,54,66,5,2,1,2324
430,215,Vancouver Canucks,60,66,54,2,5,0,2324
431,216,New York Islanders,60,98,49,1,4,1,2324
432,216,Washington Capitals,60,49,98,4,1,0,2324
433,217,Pittsburgh Penguins,60,71,62,4,0,1,2324
434,217,Buffalo Sabres,60,62,71,0,4,0,2324
435,218,Nashville Predators,60,76,46,5,7,1,2324
436,218,Arizona Coyotes,60,46,76,7,5,0,2324
437,219,Colorado Avalanche,60,72,57,2,8,1,2324
438,219,St Louis Blues,60,57,72,8,2,0,2324
439,220,Seattle Kraken,60,39,48,1,4,1,2324
440,220,Edmonton Oilers,60,48,39,4,1,0,2324
441,221,Los Angeles Kings,60,78,48,2,4,1,2324
442,221,Philadelphia Flyers,60,48,78,4,2,0,2324
443,222,Florida Panthers,60,72,41,4,3,1,2324
444,222,Chicago Blackhawks,60,41,72,3,4,0,2324
445,223,Minnesota Wild,60,51,69,3,8,1,2324
446,223,Dallas Stars,60,69,51,8,3,0,2324
447,224,Montreal Canadiens,60,59,77,2,5,1,2324
448,224,Vancouver Canucks,60,77,59,5,2,0,2324
449,225,New York Rangers,65,88,53,3,3,1,2324
450,225,Columbus Blue Jackets,65,53,88,3,3,0,2324
451,226,Anaheim Ducks,60,78,50,4,1,1,2324
452,226,San Jose Sharks,60,50,78,1,4,0,2324
453,227,Edmonton Oilers,60,64,59,4,1,1,2324
454,227,New York Islanders,60,59,64,1,4,0,2324
455,228,Seattle Kraken,60,51,69,1,5,1,2324
456,228,Colorado Avalanche,60,69,51,5,1,0,2324
457,229,Buffalo Sabres,60,64,59,2,5,1,2324
458,229,Boston Bruins,60,59,64,5,2,0,2324
459,230,Columbus Blue Jackets,60,62,72,3,5,1,2324
460,230,Pittsburgh Penguins,60,72,62,5,3,0,2324
461,231,Montreal Canadiens,60,75,59,1,2,1,2324
462,231,Calgary Flames,60,59,75,2,1,0,2324
463,232,Washington Capitals,60,54,67,3,0,1,2324
464,232,Vegas Golden Knights,60,67,54,0,3,0,2324
465,233,Dallas Stars,60.7,77,42,4,3,1,2324
466,233,Arizona Coyotes,60.7,42,77,3,4,0,2324
467,234,Nashville Predators,60,66,42,2,3,1,2324
468,234,Anaheim Ducks,60,42,66,3,2,0,2324
469,235,St Louis Blues,60,47,73,5,0,1,2324
470,235,Tampa Bay Lightning,60,73,47,0,5,0,2324
471,236,Winnipeg Jets,60,53,69,6,3,1,2324
472,236,New Jersey Devils,60,69,53,3,6,0,2324
473,237,San Jose Sharks,60,42,67,3,5,1,2324
474,237,Florida Panthers,60,67,42,5,3,0,2324
475,238,Carolina Hurricanes,60,77,37,1,3,1,2324
476,238,Philadelphia Flyers,60,37,77,3,1,0,2324
